"Sr No","Blood Bank Name",State,District,City,Address,Pincode,"Contact No",Mobile,Helpline,Fax,Email,Website
16,"Blood Bank AH Madanapalli","Andhra Pradesh",CHITTOOR,Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",517325,8571222087,0,,,"  ircsbbmpl2009@gmail.com",
17,"Indian Red Cross Society, Madanapalli RCH 2","Andhra Pradesh",CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.
",517325,"08571 222087",9440580272,NA,NA," ircsbbmpl2009@gmail.com",
18,"Aswini Hospital Blood Bank, TTD","Andhra Pradesh",CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",517507,9490651605,9490651605,,,suresh.bandapalli@gmail.com,
19,"SVRRGGH - Model Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati
",517502,"0877 2286290",0,NA,"0877 2286290",modelbloodbanktpt2010@gmail.com,
20,"Sri Venkateswara Institute of Medical sciences Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",517507,"0877 2287777",0,,0877-2286116,"svimshosp ",
21,"Govt Maternity Hospital Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",517507,,9949190197,,8772230367,supdtgmhtirupati@yahoo.com,
22," TTD Central Hospital Blood Bank","Andhra Pradesh",CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",517501,"0877 2264622",9849099750,NA,NA,ttdcentralhospital@gmail.com,
23,"S.V.S. Charitable Trust Blood Bank and Transfusion Centre","Andhra Pradesh",CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",517501,"0877 6667671 ",9246999571,,,svsctbloodbank@gmail.com,
24,"Government Hospital","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",533201,,9989106236,,,bloodbankahamp@gmail.com,
25,"M/S. Kims & Research Foundation, Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",533201,"08856 237996, 08856 237997, 08856 237998",9949993495,NA,"08856 237985",Principal07kims@yahoo.co.in,
26,"M/s. A.P.V.V.P Area Hospital Blood Bank  ","Andhra Pradesh","EAST GODAVARI",Amalapuram,"Ground Floor Area Hospital, Amalapuram",533201,NA,9505152234,NA,NA,NA,
27,"M/s. Government General Hospital, Blood Bank.","Andhra Pradesh","EAST GODAVARI",Kakinada,"Government General Premises, Ground Floor, Kakinada",533001,"0884 2302008",9390207027,,"0884 2358474",bloodbankgghkkd@gmail.com,
28,"M/s. Indian Red Cross Society Blood Bank","Andhra Pradesh","EAST GODAVARI",Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",533004,"0884 2385800",9848071868,NA,NA,nraopydah@yahoo.co.in,http://www.Indianredcross-eg.org
29,"M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust)","Andhra Pradesh","EAST GODAVARI",Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",533001,"0884 2367366, ",9494673434,NA,NA,NA,
30,"District Headquarters Hospital","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,,9849520969,,,govtbloodbank.rjy@gmail.com,
31,"M/s. G. S. L. Medical College General Hospital Blood Bank","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",533296,"0883 2484999",0,,"0883 2484888",,
32,"M/s. Swatantra Hospital,  Blood Bank","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,"0883 2464745, 0883 246569878, 0883 2461493",0,NA,NA,NA,
33,"M/S. Dhanwantari Voluntary Blood Bank.","Andhra Pradesh","EAST GODAVARI",Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",533103,0833-2473050,9885186533,NA,NA,dvbbrjy@gmail.com,
34,"M/s. Government Area General Hospital Blood Bank.","Andhra Pradesh","EAST GODAVARI",Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",533401,"08854 252333",9849030908,NA,NA,tunibloodbank@yahoo.com,
35,"M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness)","Andhra Pradesh","EAST GODAVARI",Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",533401,"08854 251123",9347911130,"NA			",NA,NA,
36,"Government General Hospital Blood Bank","Andhra Pradesh",GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",522001,"0863 2220035 (Ext No: 280)",9966641474,NA,NA,bloodbank.ggh.gnt@gmail.com,
37,"Indian Red Cross Society","Andhra Pradesh",GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",522004,,9985322589,,,redcrossbloodbankguntur@yahoo.co.in,
38,"Indian Red Cross Society Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur city","Zilla Parishad Compound, Nagarampalem, GUNTUR
",522004,"0863 2215656",9848181601,NA,"NA							",NA,
39,"Lions Club of Guntur Vision Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","1st Floor, Somuvari Street, Kothapeta, Guntur",522001,"0863 2336198, 0863 2336199 ",9246600777,,,,
40,"Padmavathi Day & Night Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",522001,,0,,,,
41,"M/s. Needs Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur city","1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",522001,"0863 6638222, 0863 6639222",9246448899,NA,NA,needsbloodbankguntur@gmail.com,
42,"M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur city","4th Floor, Behind Sivalayam Temple, Kothapeta
",522001,"0863 2219955",0,,,,
43,"Saint Joseph General Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",522001,"0863 2322700, 0863 2320386 ",9493819977,NA,NA,NA,
44,"NTR Memorial Trust Blood Bank","Andhra Pradesh",GUNTUR,"Guntur city","Door No. 13-2-87, 1st Line G. V. Thota",522001,"0863 2339444 ",0,,,,
45,"Katuri Medical College and Hospital Blood Bank ","Andhra Pradesh",GUNTUR,"Guntur Rural","Katuri Nagar, Chinakondrupadu, Guntur
",522019,"0863 2288555, 0863 2288556 (Ext No. 234) ",0,NA,NA,katuribloodbank@gmail.com,
46,"NRI Medical College and General Hospital Blood Bank","Andhra Pradesh",GUNTUR,"Guntur Rural","Mangalagiri Mandalam, Chinakakani, Guntur
",522503,"08645 236777, 08645 237401, 08645 230101",9849989813,NA,NA,NA,
47,"Manipal Hospital Bloodbank","Andhra Pradesh",GUNTUR,"Guntur Rural","Soumyanagar, Tadepalli, Guntur",522501,"0866 2489700 (Ext No.102)",0,NA,"0866 2498400",NA,http://www.manipalhospital.org
48,"Indian Red Cross Society Blood Bank. Narassraopet","Andhra Pradesh",GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta ",522601,8647224455,9885222155,"08647 224455",,nrtbloodbankircs@gmail.com,
49,"NRT Blood Bank","Andhra Pradesh",GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",522601,9542628888,9985148884,NA,NA,nrtbioodbank@gmail.com,
50,"Anjireddy Multi Specality Blood Bank ","Andhra Pradesh",GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla
",522413,"08649 254567",9849212042,NA,NA,NA,
51,"Red Cross Blood Bank","Andhra Pradesh",GUNTUR,Repalle," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",522265,"08648 223939",9177883353,NA,"NA				",rplredcrossbb@gmail.com,
52,"Area Hospital (Repeated)","Andhra Pradesh",GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",522201,,9866686760,,,tenalibloodbank@gmail.com,
53,"APVVP District Hospital Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",522202,,0,,,,
54,"Rudhira Voluntary Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",522201,"08644 231222, 08644 654123",9247155622,NA,NA,"maruthi_nagalingam@yahoo.com	",
55,"Best Rotary Blood Bank","Andhra Pradesh",GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",522201,NA,9849833321,"NA		",NA,NA,
56,"Area Hospital Blood Bank","Andhra Pradesh",KRISHNA,Gudivada,Gudivada,521301,"08674 245040",7799990904,NA,NA,areahospital.gudivada@gmail.com,
57,"Dr. Pattabhi Red Cross Blood Bank ","Andhra Pradesh",KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam",521001,"08672 230605",0,NA,NA,drprcbloodbankmtm@gmail.com,
58,"Government General Hospital (Repeated)","Andhra Pradesh",KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",520007,9866686760,8662452244,,,gghbbvij@gmail.com,
59,"Government District Headquarters Hospital machilipatnam blood bank","Andhra Pradesh",KRISHNA,Vijayawada,Machilipatnam,521001," 08672 245040",0,,,dhmtmbb@gmail.com,
60,"Rotary Red Cross Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",520003,"0866 2570082, 0866 6464002",9848124977,NA,NA,redcrosskrishna@gmail.com,
61,"Vijaya Sri Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,"0866 2433199",9392120187,,,"vijayasribloodbankvja @gmail.com",
62,"Lions Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",520002,"0866 2434417",0,NA,NA,lionsbloodbank@yahoo.com,
63,"University General Hospital Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada",520,"0866 2452244, 0866 2453488",0,NA,NA,"gghbbvij@gmail.com	",
64,"M/s. Chaitanya Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",520010,"0866 2497977, 0866 645977",9246289777,NA,NA,NA,
65,"Nagarjuna Hospital Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"Kanuru, Vijayawada",0,"0866 2554701",9848141550,,,,
66,"Saint Ann&#39;s Hospital Blood Bank  ","Andhra Pradesh",KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",520,"0866 2572057",0,NA,NA,annshospitall@gmail.com,
67,"Rotary Red Cross Blood Bank (Repeated)","Andhra Pradesh",KRISHNA,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada ",520,2570082,0,,,,
68,"Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ","Andhra Pradesh",KRISHNA,Vijayawada,"Chinnaoutapalli. ",521286,"08676 257311",0,NA,NA,NA,
69,"Bethesda Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",0,"0866 2435888",98498,,,,
70,"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ","Andhra Pradesh",KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",520002,"0866 2573636",9849118077,NA,NA,lionsbloodbank@yahoo.com,
71,"Suraksha Voluntary Blood Bank","Andhra Pradesh",KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",520002,"0866 2434499",9394777899,NA,NA,surakshabloodbank@gmail.com,
72,"M/s Ayush Nri Lepl Health Care Private Limited  ","Andhra Pradesh",KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",520008,"0866 2541414",8498061158,NA,NA,NA,http://www.aayushhospitals.com
73,"M/s. Nimra Institute of Medical Sciences ","Andhra Pradesh",KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",521456,"0866 6500000, 0866 6545454",0,,,nimrabloodbank@gmail.com,
74,"RCH -II Blood Bank, Area Hospital, Adoni","Andhra Pradesh",KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,,9440503302,,,drhsivareddy123@gmail.com,
75,"M/s. Indian Red Cross Society Blood Bank RCH 2","Andhra Pradesh",KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",518301,NA,9440503302,NA,NA,NA,
76,"M/s. Government General Hospital Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,kurnool,518002,,9985676311,,,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,
77,"M/s. Indian Red Cross Society Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",518002,"08518 255347",9490601960,NA,NA,indianredcrossknl@yahoo.com,
78,"M/s. Viswa Bharathi General Hospital Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",518002,"08518 283964",0,,,,
79,"M/s. Viswa Bharathi Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",518002,"08518 22294",0,,,,
80,"M/s. R.R. Hospital Blood Bank","Andhra Pradesh",KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",518004,"08518 223131",9966662331,NA,NA,NA,
81,"District Hospital Blood Bank ","Andhra Pradesh",KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
",518502,8514221033,9959912781,NA,NA,bbdhnandyal@gmail.com,
82,"M/s. Shantiram Medical College & General Hospital Blood Bank","Andhra Pradesh",KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",518501,,0,,,,
83,"Government Hospital Blood Bank","Andhra Pradesh",KURNOOL,"Srisailam Project","Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",518101,,0,,,,
84,"M/s. Area Hospital Blood Bank","Andhra Pradesh",PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",523155,8520026320,9441743892,NA,NA,shaikabdulhafiz@gmail.com,
85,"Indian Red Cross Society Blood bank","Andhra Pradesh",PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",523316,"08596 223485",9440211131,NA,NA,ahmarkapur@yahoo.com,
86,"M/s. RIMS General Hospital Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",523001,8592233310,9000991884,,,bloodbankrimsongole@gmail.com,http://www.rimsongole.org/hospital.aspx
87,"Indian Red Cross Society Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",523001,"08592 236093",9247264635,NA,NA,ircsbbongole@gmail.com,http://www.REDCROSS-prakasam.org
88,"M/s. Life Line Volunytary Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",523001,9247023117,9247023117,NA,NA,ehara.rao0900@gmail.com,
89,"M/s. Belief Blood Bank","Andhra Pradesh",PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",523001,"08592 222345",9849499988,NA,NA,NA,
90,"Government Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Gudur,"Area Hospital Compound, Gudur
",524101,,8008553616,,,ahgudur@yahoo.com,
91,"M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED)","Andhra Pradesh","SPSR NELLORE",Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",524201,"08626 244766",9849850498,,,,
92,"M/s. APVVP Area Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Kavali,"Area Hospital Compound Kavali",524201,,9247708602,,,,
93,"M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank","Andhra Pradesh","SPSR NELLORE",Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali
",524201,"08626 244766",9849850498,NA,NA,NA,
94,"Indian Red Cross Society Blood Bank","Andhra Pradesh","SPSR NELLORE",Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",524003,"0861 2320470",9347033100,NA,NA,redcross_nlr@yahoo.com,
95,"District Headquarters Hospital (Repeated)","Andhra Pradesh","SPSR NELLORE",Nellore,"District Headquarters Hospital, Dargamitta, Nellore",524003,,92477088602,,,dsrbbnlr@gmail.com,
96,"D.S.R. Headquarters Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Nellore,"Government Hospital Compound, Nellore",524002,"0861 2349277",0,,,,
97,"Narayana Medical College & Hospital Blood Bank","Andhra Pradesh","SPSR NELLORE",Nellore,"Narayana Hospital compound, Nellore",524002,"0861 2317963",0,NA,NA,NA,
98,"Gems Hospital Blood Bank","Andhra Pradesh",SRIKAKULAM,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",532001,NA,9391489207,NA,NA,NA,
99,"GMR Varalakshmi Care Hospital Blood Bank","Andhra Pradesh",SRIKAKULAM,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",532127,"08941 253183, 08941 253184",0,"1,800,425,183,418,000,000,000","08941 253185",NA,
100,"Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank","Andhra Pradesh",SRIKAKULAM,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam
",532001,"08942 279679",9701501018,NA,NA,bbrimssklm@gmail.com,
101,"Indian Red Cross Society (IRCS) Blood Bank","Andhra Pradesh",SRIKAKULAM,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",532001,"08942 226555, 08942 226111",0,1910,NA,secretary.redcrosssklm@gmail.com,http://www.ircssrikakulam.com/
102,"District Hospital","Andhra Pradesh",VISAKHAPATNAM,Anakapalli,"AH- ANAKAPALLI",531001,,9848325561,,,bloodbank.ahakp@gmail.com,
103,"M/s. NTR Area Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",531001,"08924 223340",9491817042,NA,NA,bloodbank.ahakp@gmail.com,
104,"M/s. Visakha Steel General Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",530032,"0891 2887722",7702917979,"0891 2887722",NA,NA,
105,"M/s. INHS Kalyani Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Gajuwaka,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",530005,"0891 2814028",0,"0891 2814028",,,
106,"M/s. Anil Neerukonda Hospital  Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",531162,"8912821111 (Exte. No. 126)",0,"08933 226900","0891 2821199",nriims@gmail.com,
107,"M/s. King George Hospital (KGH) Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",530002,"0891 2564891",8912563345,"0891 2564891",NA,kgh_vsp@ap.nic.in,
108,"M/s. Government Victoria Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"Women & Children Hospital Blood Bank, Visakhapatnam",530001,"0891 2562637 ",9059522294,"0891 2562637",,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",
109,"M/s. Indian Red Cross Society Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",530002,"0891 2703953",9848027203,"0891 2794153",NA,secretaryvspredcross@gmail.com,
110,"M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust)","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",530002,"0891 6534635, 0891 2506678",9848193503,"0891 6534635, 0891 2506678",NA,rotarybloodbankvsp@gmail.com,
111,"M/s. Apollo Hospital Heart & Kidney Centre Blood Bank","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",530002,"0891 2727272 ",0,"0891 2727272","0891 2560858",Jhansilaxmi-a@apollohospital.com,http://www.apollohospital.com
112,"M/s. Seven Hills Hospital Blood Bank","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",530002,"0891 6677777",9848199322,NA," 0891 2565635",NA,http://www.sevenhillshospital.com
113," A. S. Raja Voluntary Blood Bank","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,"0891 2543436,0891 6663436,0891 6644936.",9393963436,NA,NA,asrajavbloodbank@gmail.com,
114,"M/s. Lions Club of Visakhapatnam Blod Bank Trust  ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",530002,"0891 6692587, 0891 6692580, 0891 6692590",917,"0891 6692587, 0891 6692580, 0891 6692590",NA,lionsbloodbankvsp@gmail.com,
115,"M/s. N.T.R. Memorial Trust Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,"0891 2565858, 0891 2555858",9032005619,"0891 2565858, 0891 2555858",NA,NA,http://www.ntrtrust.org
116,"M/s. Gitam Institute of Medical Sciences and Research Blood Bank ","Andhra Pradesh",VISAKHAPATNAM,"Visakhapatnam ","D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",530045,"0891 2524777",9985556050,"0891 2524777	","0891 2790222",directorgims@gitam.edu,
